date,equity_usd
2010-05-03,11628.101806640614
2010-05-04,11628.101806640614
2010-05-05,11628.101806640614
2010-05-06,11628.101806640614
2010-05-07,10103.101806640614
2010-05-10,14369.101806640614
2010-05-11,14284.101806640614
2010-05-12,15020.101806640614
2010-05-13,15020.101806640614
2010-05-14,15020.101806640614
2010-05-17,15020.101806640614
2010-05-18,15020.101806640614
2010-05-19,14582.601806640614
2010-05-20,11227.601806640614
2010-05-21,12327.601806640614
2010-05-24,11517.601806640614
2010-05-25,11677.601806640614
2010-05-26,10610.101806640614
2010-05-27,13999.601806640614
2010-05-28,13999.601806640614
2010-06-01,13999.601806640614
2010-06-02,13999.601806640614
2010-06-03,13999.601806640614
2010-06-04,13999.601806640614
2010-06-07,13999.601806640614
2010-06-08,13999.601806640614
2010-06-09,13999.601806640614
2010-06-10,13999.601806640614
2010-06-11,13999.601806640614
2010-06-14,13999.601806640614
2010-06-15,13999.601806640614
2010-06-16,13999.601806640614
2010-06-17,13999.601806640614
2010-06-18,13999.601806640614
2010-06-21,13999.601806640614
2010-06-22,13999.601806640614
2010-06-23,13999.601806640614
2010-06-24,13999.601806640614
2010-06-25,13794.601806640614
2010-06-28,13729.601806640614
2010-06-29,12279.601806640614
2010-06-30,11769.601806640614
2010-07-01,11569.601806640614
2010-07-02,11434.601806640614
2010-07-06,11699.601806640614
2010-07-07,12785.601806640614
2010-07-08,12785.601806640614
2010-07-09,12785.601806640614
2010-07-12,12785.601806640614
2010-07-13,12785.601806640614
2010-07-14,12785.601806640614
2010-07-15,12785.601806640614
2010-07-16,12785.601806640614
2010-07-19,12785.601806640614
2010-07-20,12785.601806640614
2010-07-21,12785.601806640614
2010-07-22,12785.601806640614
2010-07-23,12785.601806640614
2010-07-26,12785.601806640614
2010-07-27,12785.601806640614
2010-07-28,12785.601806640614
2010-07-29,12785.601806640614
2010-07-30,12785.601806640614
2010-08-02,12785.601806640614
2010-08-03,12785.601806640614
2010-08-04,12785.601806640614
2010-08-05,12785.601806640614
2010-08-06,12785.601806640614
2010-08-09,12785.601806640614
2010-08-10,12785.601806640614
2010-08-11,12785.601806640614
2010-08-12,12575.601806640614
2010-08-13,12335.601806640614
2010-08-16,12430.601806640614
2010-08-17,12806.601806640614
2010-08-18,12806.601806640614
2010-08-19,12806.601806640614
2010-08-20,12806.601806640614
2010-08-23,12806.601806640614
2010-08-24,12806.601806640614
2010-08-25,12806.601806640614
2010-08-26,12806.601806640614
2010-08-27,12806.601806640614
2010-08-30,12806.601806640614
2010-08-31,12806.601806640614
2010-09-01,12806.601806640614
2010-09-02,12806.601806640614
2010-09-03,12806.601806640614
2010-09-07,12806.601806640614
2010-09-08,12806.601806640614
2010-09-09,12806.601806640614
2010-09-10,12806.601806640614
2010-09-13,12806.601806640614
2010-09-14,12806.601806640614
2010-09-15,12806.601806640614
2010-09-16,12806.601806640614
2010-09-17,12806.601806640614
2010-09-20,12806.601806640614
2010-09-21,12806.601806640614
2010-09-22,12806.601806640614
2010-09-23,12806.601806640614
2010-09-24,12806.601806640614
2010-09-27,12806.601806640614
2010-09-28,12806.601806640614
2010-09-29,12806.601806640614
2010-09-30,12806.601806640614
2010-10-01,12806.601806640614
2010-10-04,12806.601806640614
2010-10-05,13622.601806640614
2010-10-06,13622.601806640614
2010-10-07,13622.601806640614
2010-10-08,13622.601806640614
2010-10-11,13622.601806640614
2010-10-12,13622.601806640614
2010-10-13,13622.601806640614
2010-10-14,13622.601806640614
2010-10-15,13622.601806640614
2010-10-18,13622.601806640614
2010-10-19,13622.601806640614
2010-10-20,13622.601806640614
2010-10-21,13622.601806640614
2010-10-22,13622.601806640614
2010-10-25,13622.601806640614
2010-10-26,13622.601806640614
2010-10-27,13622.601806640614
2010-10-28,13622.601806640614
