entry_date,exit_date,entry_px,exit_px,bars_held,exit_reason,gross_pts,gross_usd,cost_usd,net_usd,entry_rsi,ret_pct,notional_usd,mae_pct,mfe_pct,symbol,year
2005-03-22,2005-03-30,1174.25,1185.5,5,rsi_target,11.25,562.5,29.0,533.5,3.6307767829035384,0.009580583351075155,58712.5,-0.006387055567383436,0.009793485203321269,ES,2005
2005-04-14,2005-04-21,1160.5,1161.5,5,rsi_target,1.0,50.0,29.0,21.0,7.563537441214223,0.0008616975441619991,58025.0,-0.02132701421800948,0.003015941404566997,ES,2005
2005-06-08,2005-06-16,1530.5,1535.5,6,rsi_target,5.0,100.0,14.0,86.0,9.19463558460329,0.003266906239790918,30610.0,-0.013067624959163672,0.009800718719372754,NQ,2005
2005-06-23,2005-06-28,1204.0,1206.75,3,rsi_target,2.75,137.5,29.0,108.5,6.463604784352157,0.0022840531561461796,60200.0,-0.009551495016611296,0.0026993355481727574,ES,2005
2005-08-08,2005-08-11,1227.25,1238.5,3,rsi_target,11.25,562.5,29.0,533.5,9.042848651258652,0.00916683642289672,61362.5,-0.001425952332450601,0.014666938276634752,ES,2005
2005-08-08,2005-08-15,1598.5,1606.0,5,rsi_target,7.5,150.0,14.0,136.0,8.002326329314286,0.0046918986549890525,31970.0,-0.008132624335314358,0.010634970284641852,NQ,2005
2005-08-24,2005-08-29,1565.0,1574.5,3,rsi_target,9.5,190.0,14.0,176.0,2.5038398986798995,0.0060702875399361025,31300.0,-0.013099041533546326,0.008945686900958467,NQ,2005
2005-08-24,2005-08-31,1210.0,1221.5,5,rsi_target,11.5,575.0,29.0,546.0,3.472565205772881,0.009504132231404958,60500.0,-0.013223140495867768,0.011776859504132231,ES,2005
2005-09-15,2005-09-19,1586.5,1602.0,2,rsi_target,15.5,310.0,14.0,296.0,8.318362568982792,0.009769933816577371,31730.0,0.0,0.016388276079420106,NQ,2005
2005-10-06,2005-10-14,1564.5,1550.0,6,rsi_target,-14.5,-290.0,14.0,-304.0,5.924083367006276,-0.009268136784915308,31290.0,-0.02652604666027485,0.005433045701502077,NQ,2005
2005-11-30,2005-12-01,1251.0,1264.5,1,rsi_target,13.5,675.0,29.0,646.0,5.6876930531322785,0.01079136690647482,62550.0,0.0005995203836930455,0.013589128697042365,ES,2005
2005-11-30,2005-12-01,1675.0,1704.0,1,rsi_target,29.0,580.0,14.0,566.0,6.381032022907888,0.017313432835820895,33500.0,0.0005970149253731343,0.02,NQ,2005
2005-12-19,2005-12-22,1679.5,1700.5,3,rsi_target,21.0,420.0,14.0,406.0,3.313019816412023,0.012503721345638583,33590.0,-0.003572491813039595,0.013396844298898482,NQ,2005
2005-12-30,2006-01-03,1254.75,1274.75,1,rsi_target,20.0,1000.0,29.0,971.0,5.9312015326373455,0.01593943016537159,62737.5,-0.002590157401872883,0.01813110181311018,ES,2006
2005-12-29,2006-01-03,1668.0,1693.0,2,rsi_target,25.0,500.0,14.0,486.0,5.953140541968665,0.01498800959232614,33360.0,-0.013189448441247002,0.019784172661870502,NQ,2006
2006-01-18,2006-01-26,1283.75,1277.75,6,rsi_target,-6.0,-300.0,29.0,-329.0,7.4777397322912975,-0.004673807205452775,64187.5,-0.016747809152872443,0.0072054527750730285,ES,2006
2006-01-18,2006-01-27,1727.5,1722.5,7,rsi_target,-5.0,-100.0,14.0,-114.0,4.649894958324211,-0.002894356005788712,34550.0,-0.027785817655571636,0.01447178002894356,NQ,2006
2006-02-03,2006-02-14,1265.5,1278.25,7,rsi_target,12.75,637.5,29.0,608.5,8.755659509906124,0.010075069142631371,63275.0,-0.007704464638482813,0.012643224022125641,ES,2006
2006-02-03,2006-02-15,1667.5,1679.5,8,rsi_target,12.0,240.0,14.0,226.0,4.834882741596971,0.00719640179910045,33350.0,-0.014992503748125937,0.012893553223388306,NQ,2006
2006-03-07,2006-03-10,1277.5,1283.0,3,rsi_target,5.5,275.0,29.0,246.0,8.254555218272003,0.004305283757338552,63875.0,-0.00684931506849315,0.006066536203522505,ES,2006
2006-03-07,2006-03-14,1665.5,1686.0,5,rsi_target,20.5,410.0,14.0,396.0,9.400144410545835,0.012308616031221855,33310.0,-0.018913239267487243,0.012608826178324827,NQ,2006
2006-03-28,2006-04-04,1302.5,1314.75,5,rsi_target,12.25,612.5,29.0,583.5,7.755706682640749,0.009404990403071018,65125.0,-0.001343570057581574,0.012859884836852208,ES,2006
2006-04-11,2006-04-18,1294.0,1313.5,4,rsi_target,19.5,975.0,29.0,946.0,7.991517484426268,0.015069551777434312,64700.0,-0.005795981452859351,0.017001545595054096,ES,2006
2006-04-12,2006-04-18,1718.75,1739.75,3,rsi_target,21.0,420.0,14.0,406.0,8.529748266239437,0.012218181818181819,34375.0,-0.01309090909090909,0.014836363636363637,NQ,2006
2006-05-11,2006-05-25,1311.75,1276.0,10,rsi_target,-35.75,-1787.5,29.0,-1816.5,7.982746652683446,-0.027253668763102725,65587.5,-0.04955212502382314,0.0007623403849818944,ES,2006
2006-05-11,2006-05-25,1664.75,1605.25,10,rsi_target,-59.5,-1190.0,14.0,-1204.0,3.049601880159102,-0.03574110226760775,33295.0,-0.06457426039945938,0.0013515542874305451,NQ,2006
2006-09-07,2006-09-12,1296.25,1313.75,3,rsi_target,17.5,875.0,29.0,846.0,6.966153920706759,0.013500482160077145,64812.5,-0.0036644165863066536,0.014271938283510125,ES,2006
2006-10-02,2006-10-04,1647.5,1692.5,2,rsi_target,45.0,900.0,14.0,886.0,6.6074370208461914,0.027314112291350532,32950.0,-0.005766312594840668,0.02959028831562974,NQ,2006
2006-11-01,2006-11-06,1373.0,1383.75,3,rsi_target,10.75,537.5,29.0,508.5,4.043034467108612,0.007829570284049526,68650.0,-0.005462490895848507,0.009832483612527313,ES,2006
